City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,beatrice,40.2681,-96.747,54.18,76,0,9.22,US,1677455964
85,kaitangata,-46.2817,169.8464,65.59,60,93,3.98,NZ,1677455964
86,geraldton,-28.7667,114.6,82.81,24,40,4.61,AU,1677455710
87,new norfolk,-42.7826,147.0587,60.71,63,73,1.99,AU,1677455965
88,mulege,26.8833,-111.9833,61.5,62,0,10.13,MX,1677455965
89,bethel,41.3712,-73.414,36.64,83,0,1.01,US,1677455717
90,kayes,14.0,-11.0,86.27,16,3,5.14,ML,1677455966
91,soldato-aleksandrovskoye,44.2653,43.7561,38.66,64,75,1.41,RU,1677455966
92,gazanjyk,39.2446,55.5154,46.27,58,10,9.01,TM,1677455967
93,bentiu,9.2333,29.8333,86.27,14,46,9.28,SS,1677455967
94,vitim,59.4511,112.5578,14.54,93,100,9.42,RU,1677455967
95,barrow,71.2906,-156.7887,-14.78,84,100,24.16,US,1677455855
96,haines junction,60.7522,-137.5108,13.95,48,80,9.22,CA,1677455968
97,port hedland,-20.3167,118.5667,80.65,83,63,8.05,AU,1677455968
98,hovd,48.0056,91.6419,7.43,63,29,6.51,MN,1677455721
99,barcelona,41.3888,2.159,42.96,75,75,5.75,ES,1677455775
100,saint-leu,-21.15,55.2833,74.32,91,9,4.74,RE,1677455968
101,tautira,-17.7333,-149.15,81.91,74,10,13.51,PF,1677455969
102,kadyy,57.787,43.1903,27.77,94,100,9.66,RU,1677455969
103,bubaque,11.2833,-15.8333,74.73,70,7,20.74,GW,1677455969
104,tasiilaq,65.6145,-37.6368,23.36,94,100,14.83,GL,1677455970
105,buraydah,26.326,43.975,61.25,40,32,8.39,SA,1677455820
106,zhucheng,35.9947,119.3975,36.12,50,0,5.06,CN,1677455970
107,namatanai,-3.6667,152.4333,83.35,75,100,4.83,PG,1677455970
108,vila franca do campo,37.7167,-25.4333,59.41,73,48,18.37,PT,1677455971
109,arraial do cabo,-22.9661,-42.0278,76.78,86,96,22.66,BR,1677455971
110,thompson,55.7435,-97.8558,10.56,67,100,2.3,CA,1677455971
111,lebu,-37.6167,-73.65,57.31,78,73,21.32,CL,1677455972
112,upernavik,72.7868,-56.1549,-3.95,98,100,5.66,GL,1677455972
113,kahului,20.8947,-156.47,78.82,64,20,20.71,US,1677455972
114,narsaq,60.9167,-46.05,26.01,78,100,5.73,GL,1677455973
115,khatanga,71.9667,102.5,-7.1,82,100,17.49,RU,1677455973
116,diamantino,-14.4086,-56.4461,76.23,82,87,3.29,BR,1677455832
117,guerrero negro,27.9769,-114.0611,58.78,47,5,21.25,MX,1677455973
118,taoudenni,22.6783,-3.9836,68.59,21,0,8.9,ML,1677455974
119,cidreira,-30.1811,-50.2056,76.91,75,45,8.39,BR,1677455974
120,lake havasu city,34.4839,-114.3224,60.22,35,0,8.05,US,1677455974
121,loreto,22.2667,-101.9667,74.35,16,87,12.93,MX,1677455742
122,batagay,67.6333,134.6333,-7.83,98,100,5.1,RU,1677455975
